voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
ChrisClone_ULNN,"Hey, how are you?",1,conv_7601m0we9h6nfrdvgnw70mfsxz97,2026-08-25 12:28:31+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ChrisClone_ULNN_hey-how-are-you_take1.wav,16000,1.8,1.04,2.04,0.29,0.47,-13.65,-23.0,-9.35,-10.12,lufs,False
ChrisClone_ULNN,"Hey, how are you?",2,conv_0901m0we9r4se3xaqwrameq04xve,2026-08-25 12:28:38+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ChrisClone_ULNN_hey-how-are-you_take2.wav,16000,1.692,1.02,2.02,0.39,0.282,-13.49,-23.0,-9.51,-10.33,lufs,False
ChrisClone_ULNN,"Hey, how are you?",3,conv_5201m0we9z8xerssb7tf25dzs6pm,2026-08-25 12:28:46+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ChrisClone_ULNN_hey-how-are-you_take3.wav,16000,1.296,0.82,1.82,0.31,0.166,-15.03,-23.0,-7.97,-9.76,lufs,False
ChrisClone_ULNN,"Just reading the instructions, I think I am the interviewer for this chat.",1,conv_5801m0web2n1enja7et8qyfg81gm,2026-08-25 12:29:22+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/ChrisClone_ULNN_just-reading-the-instructions-i_take1.wav,16000,4.104,3.68,4.68,0.25,0.174,-17.7,-23.0,-5.3,-6.44,lufs,False
ChrisClone_ULNN,"Just reading the instructions, I think I am the interviewer for this chat.",2,conv_6801m0webc4ke2famke5p4vw15ws,2026-08-25 12:29:32+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/ChrisClone_ULNN_just-reading-the-instructions-i_take2.wav,16000,4.464,3.9,4.9,0.27,0.294,-16.61,-23.0,-6.39,-7.5,lufs,False
ChrisClone_ULNN,"Just reading the instructions, I think I am the interviewer for this chat.",3,conv_7301m0webn36ekdt5eheyejr568c,2026-08-25 12:29:41+00:00,response_audio,Just reading the instructions. I think I am the interviewer for this chat.,export/voice_stimuli/ChrisClone_ULNN_just-reading-the-instructions-i_take3.wav,16000,4.104,3.56,4.56,0.33,0.214,-18.82,-23.0,-4.18,-6.1,lufs,False
TextGen_FB2,"Hey, can you hear me?",1,conv_9701m0wh5betf1grzgdfdjg66y2z,2026-08-25 13:18:40+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_FB2_hey-can-you-hear-me_take1.wav,16000,1.656,1.2,2.2,0.31,0.146,-12.09,-23.0,-10.91,-11.53,lufs,False
TextGen_FB2,"Hey, can you hear me?",2,conv_0101m0wh5k9qe0zbj0vte28g0s8j,2026-08-25 13:18:48+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_FB2_hey-can-you-hear-me_take2.wav,16000,1.692,1.2,2.2,0.29,0.202,-15.4,-23.0,-7.6,-8.61,lufs,False
TextGen_FB2,"Hey, can you hear me?",3,conv_0601m0wh5tk1f7xvttwy8d32tj2j,2026-08-25 13:18:56+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/TextGen_FB2_hey-can-you-hear-me_take3.wav,16000,1.656,1.14,2.14,0.31,0.206,-17.2,-23.0,-5.8,-6.32,lufs,False
TextGen_FB2,"Hey, how are you?",1,conv_3601m0wh4cjjekw816ca44hhcpbp,2026-08-25 13:18:08+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/TextGen_FB2_hey-how-are-you_take1.wav,16000,1.836,1.14,2.14,0.57,0.126,-13.96,-23.0,-9.04,-9.85,lufs,False
