provider,source,voice,utterance,utterance_slug,take,conversation_id,channel,recorded_utc,track,transcript,path,sample_rate,source_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited,source_file,utterance_source
ElevenLabs,elevenlabs,George,"Hey, how are you?",hey-how-are-you,3,conv_4301m1h4yfkdfebs2jp5fh0b5431,agent,2026-09-02 13:29:15+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_George_hey-how-are-you_take3.wav,16000,16000,1.224,0.9,1.9,0.21,0.114,-18.01,-23.0,-4.99,-7.28,lufs,False,,
ElevenLabs,elevenlabs,George,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,1,conv_8901m1h5na4vecar58x28rf3ef26,agent,2026-09-02 13:41:43+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_George_just-reading-the-instructions-i_take1.wav,16000,16000,3.024,2.68,3.68,0.15,0.194,-20.33,-23.0,-2.67,-4.18,lufs,False,,
ElevenLabs,elevenlabs,George,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,2,conv_4101m1h5nfz9f2ktapj5wcqtdcde,agent,2026-09-02 13:41:49+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_George_just-reading-the-instructions-i_take2.wav,16000,16000,3.312,2.8,3.8,0.27,0.242,-19.01,-23.0,-3.99,-5.81,lufs,False,,
ElevenLabs,elevenlabs,George,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,3,conv_0401m1h5nqcmecw8r1rgsq2wnjm1,agent,2026-09-02 13:41:57+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_George_just-reading-the-instructions-i_take3.wav,16000,16000,3.312,2.86,3.86,0.23,0.222,-19.33,-23.0,-3.67,-5.32,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Hey, can you hear me?",hey-can-you-hear-me,1,conv_6601m1h9sjb2fsza8e4bzhqvpzg3,agent,2026-09-02 14:53:57+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_Lucy_hey-can-you-hear-me_take1.wav,16000,16000,1.62,1.34,2.34,0.17,0.11,-13.44,-23.0,-9.56,-9.94,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Hey, can you hear me?",hey-can-you-hear-me,2,conv_3201m1h9spdbfwvbvqr8zhydg4gj,agent,2026-09-02 14:54:01+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_Lucy_hey-can-you-hear-me_take2.wav,16000,16000,1.332,1.08,2.08,0.21,0.042,-17.37,-23.0,-5.63,-9.11,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Hey, can you hear me?",hey-can-you-hear-me,3,conv_0701m1h9ste2fasr6z4nzj0kfzw7,agent,2026-09-02 14:54:05+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_Lucy_hey-can-you-hear-me_take3.wav,16000,16000,1.944,1.52,2.52,0.21,0.214,-13.69,-23.0,-9.31,-10.16,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Hey, how are you?",hey-how-are-you,1,conv_8601m1h547ynecbazs8jzwb83ftj,agent,2026-09-02 13:32:24+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_Lucy_hey-how-are-you_take1.wav,16000,16000,2.196,1.64,2.64,0.41,0.146,-17.18,-23.0,-5.82,-10.69,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Hey, how are you?",hey-how-are-you,2,conv_9701m1h54xvcfmtvq9d04brey03v,agent,2026-09-02 13:32:46+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_Lucy_hey-how-are-you_take2.wav,16000,16000,1.8,1.44,2.44,0.15,0.21,-13.14,-23.0,-9.86,-10.85,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Hey, how are you?",hey-how-are-you,3,conv_5701m1h554steqxsc9gs8pbkp446,agent,2026-09-02 13:32:53+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_Lucy_hey-how-are-you_take3.wav,16000,16000,1.584,1.26,2.26,0.17,0.154,-13.81,-23.0,-9.19,-11.68,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,1,conv_1001m1h5qyn4fy0v25yb4g94atvp,agent,2026-09-02 13:43:10+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_Lucy_just-reading-the-instructions-i_take1.wav,16000,16000,3.96,3.69,4.69,0.27,0.0,-15.66,-23.0,-7.34,-7.76,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,2,conv_4801m1h5r6yyfda91v3zpnyaqjbv,agent,2026-09-02 13:43:18+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_Lucy_just-reading-the-instructions-i_take2.wav,16000,16000,4.176,3.86,4.86,0.25,0.066,-18.48,-23.0,-4.52,-4.96,lufs,False,,
ElevenLabs,elevenlabs,Lucy,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,3,conv_6301m1h5rdkge1x9v87034qrxc8v,agent,2026-09-02 13:43:25+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_Lucy_just-reading-the-instructions-i_take3.wav,16000,16000,4.572,3.98,4.98,0.31,0.282,-16.99,-23.0,-6.01,-7.66,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Hey, can you hear me?",hey-can-you-hear-me,1,conv_2801m1h9rqbfesmvp44jnwt8s28s,agent,2026-09-02 14:53:29+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_Prince_hey-can-you-hear-me_take1.wav,16000,16000,1.26,1.04,2.04,0.17,0.05,-19.18,-23.0,-3.82,-10.72,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Hey, can you hear me?",hey-can-you-hear-me,2,conv_0401m1h9rxbyez6b2fvefn829f7y,agent,2026-09-02 14:53:35+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_Prince_hey-can-you-hear-me_take2.wav,16000,16000,1.332,0.88,1.88,0.27,0.182,-17.86,-23.0,-5.14,-6.91,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Hey, can you hear me?",hey-can-you-hear-me,3,conv_9301m1h9s1nbewt8h43z9byspc7j,agent,2026-09-02 14:53:40+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_Prince_hey-can-you-hear-me_take3.wav,16000,16000,1.224,1.04,2.04,0.11,0.074,-23.38,-23.0,0.38,-7.53,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Hey, how are you?",hey-how-are-you,1,conv_6301m1h516wafdma1bz2aemrtast,agent,2026-09-02 13:30:45+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_Prince_hey-how-are-you_take1.wav,16000,16000,1.26,0.88,1.88,0.25,0.13,-17.74,-23.0,-5.26,-8.44,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Hey, how are you?",hey-how-are-you,2,conv_1901m1h526scem58s10gerqa2kff,agent,2026-09-02 13:31:17+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_Prince_hey-how-are-you_take2.wav,16000,16000,1.296,0.9,1.9,0.19,0.206,-17.1,-23.0,-5.9,-8.79,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Hey, how are you?",hey-how-are-you,3,conv_3401m1h52d46e2vv3sq31czbqykn,agent,2026-09-02 13:31:24+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_Prince_hey-how-are-you_take3.wav,16000,16000,1.26,1.0,2.0,0.17,0.09,-16.15,-23.0,-6.85,-11.56,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,1,conv_8901m1h5pwhjfq48pvmzhhm2je5s,agent,2026-09-02 13:42:35+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_Prince_just-reading-the-instructions-i_take1.wav,16000,16000,3.852,3.22,4.22,0.27,0.362,-20.68,-23.0,-2.32,-5.6,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,2,conv_8501m1h5q3cefcrtbck4c5sq60h6,agent,2026-09-02 13:42:42+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_Prince_just-reading-the-instructions-i_take2.wav,16000,16000,3.276,2.92,3.92,0.25,0.106,-20.94,-23.0,-2.06,-5.86,lufs,False,,
ElevenLabs,elevenlabs,Prince,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,3,conv_5501m1h5q9mze1a9cmwhwksr2qcp,agent,2026-09-02 13:42:48+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_Prince_just-reading-the-instructions-i_take3.wav,16000,16000,3.276,2.82,3.82,0.29,0.166,-20.48,-23.0,-2.52,-9.28,lufs,False,,
ElevenLabs,elevenlabs,SarenneClone,"Hey, can you hear me?",hey-can-you-hear-me,1,conv_0901m1h9w345f85ra4hw1p1z9fp4,agent,2026-09-02 14:55:20+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_SarenneClone_hey-can-you-hear-me_take1.wav,16000,16000,1.62,1.08,2.08,0.29,0.25,-19.11,-23.0,-3.89,-6.87,lufs,False,,
